10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/real/webGoogle/webGoogleL8exp.edge
DGraph |V|=875714,|E|=5105039,|L|=8
DGraph size(byte)=81680624, time(s)=1.06968
dataset: ./experiments/graphs/real/webGoogle/webGoogleL8exp.edge with |L|=8 and |V|=875714
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 81680624
BFS required index construction time (s): 1.06968
Method: BFS queryset: 0
*Query 0: (1158,1,00000000000000000000000010000100, true), avg=0.01489996910
*Query 1: (1158,1,00000000000000000000000010001000, true), avg=0.00680494308
*Query 2: (1158,2,00000000000000000000000011000000, true), avg=0.01701831817
*Query 3: (1158,3,00000000000000000000000011000000, true), avg=0.03320423762
*Query 4: (1158,4,00000000000000000000000010000001, true), avg=0.01732261975
*Query 5: (1158,4,00000000000000000000000010000100, true), avg=0.01461974779
*Query 6: (1158,4,00000000000000000000000110000000, true), avg=0.01207939783
*Query 7: (1930,1,00000000000000000000000010000001, true), avg=0.02081298828
*Query 8: (1930,1,00000000000000000000000010010000, true), avg=0.02222164471
*Query 9: (1930,2,00000000000000000000000010001000, true), avg=0.00344896316
*Query 10: (1930,2,00000000000000000000000010010000, true), avg=0.02174862225
*Query 11: (1930,3,00000000000000000000000010000100, true), avg=0.05749996503
*Query 12: (1930,3,00000000000000000000000010001000, true), avg=0.02190335591
*Query 13: (1930,3,00000000000000000000000110000000, true), avg=0.04578789075
*Query 14: (1930,4,00000000000000000000000010000010, true), avg=0.03494032224
*Query 15: (1930,4,00000000000000000000000010100000, true), avg=0.00302569071
*Query 16: (1930,5,00000000000000000000000010000001, true), avg=0.00762399037
*Query 17: (1930,5,00000000000000000000000010000010, true), avg=0.03383564949
*Query 18: (1930,5,00000000000000000000000010100000, true), avg=0.00302235285
*Query 19: (1930,6,00000000000000000000000010001000, true), avg=0.00810734430
*Query 20: (1930,7,00000000000000000000000010100000, true), avg=0.00659434000
*Query 21: (1930,7,00000000000000000000000011000000, true), avg=0.02297306060
*Query 22: (1930,7,00000000000000000000000110000000, true), avg=0.03131596247
*Query 23: (1930,8,00000000000000000000000010000100, true), avg=0.04126922289
*Query 24: (1930,9,00000000000000000000000010000001, true), avg=0.02101071675
*Query 25: (1930,10,00000000000000000000000010000100, true), avg=0.06918636957
*Query 26: (1930,11,00000000000000000000000010000010, true), avg=0.05360603332
